photo,emotion
Jose_Maria_Aznar_0021.jpg,surprise
Jose_Maria_Aznar_0022.jpg,anger
Jose_Maria_Aznar_0023.jpg,neutral
Jose_Miguel_Aleman_0001.jpg,neutral
Jose_Mourinho_0001.jpg,contempt
Jose_Mourinho_0002.jpg,disgust
Jose_Rosado_0001.jpg,neutral
Jose_Santos_0001.jpg,sadness
Jose_Sarney_0001.jpg,happiness
Jose_Sarney_0002.jpg,happiness
Jose_Sarney_0003.jpg,neutral
Jose_Serra_0001.jpg,happiness
Jose_Serra_0002.jpg,happiness
Jose_Serra_0003.jpg,neutral
Jose_Serra_0004.jpg,happiness
Jose_Serra_0005.jpg,happiness
Jose_Serra_0006.jpg,contempt
Jose_Serra_0007.jpg,happiness
Jose_Serra_0008.jpg,happiness
Jose_Serra_0009.jpg,happiness
Jose_Theodore_0001.jpg,happiness
Jose_Theodore_0002.jpg,neutral
Jose_Vicente_Rangel_0001.jpg,fear
Jose_Viegas_Filho_0001.jpg,happiness
Jose_Woldenberg_0001.jpg,anger
Joseph_Biden_0001.jpg,happiness
Joseph_Biden_0002.jpg,contempt
Joseph_Biden_0003.jpg,anger
Joseph_Biden_0004.jpg,contempt
Joseph_Biden_0005.jpg,surprise
Joseph_Blatter_0002.jpg,happiness
Joseph_Deiss_0001.jpg,fear
Joseph_Deiss_0002.jpg,fear
Joseph_Deiss_0003.jpg,happiness
Joseph_Estrada_0001.jpg,disgust
Joseph_Estrada_0002.jpg,sadness
Joseph_Estrada_0003.jpg,sadenss
Joseph_Estrada_0004.jpg,sadness
Joseph_Galante_0001.jpg,happiness
Joseph_Ganim_0001.jpg,sadness
Joseph_Hoy_0001.jpg,disgust
Joseph_Kabila_0001.jpg,happiness
Joseph_LePore_0001.jpg,sadness
Joseph_Lopez_0001.jpg,sadness
Joseph_Nacchio_0001.jpg,happiness
Joseph_Ralston_0001.jpg,fear
Joseph_Ralston_0002.jpg,fear
Joseph_Safra_0001.jpg,sadness
Joseph_Salgado_0001.jpg,neutral
Josh_Childress_0001.jpg,neutral
Josh_Evans_0001.jpg,anger
Josh_Kronfeld_0001.jpg,neutral
Joshua_Davey_0001.jpg,happiness
Joshua_Gracin_0001.jpg,neutral
Joshua_Harapko_0001.jpg,neutral
Joshua_Perper_0001.jpg,contempt
Joxel_Garcia_0001.jpg,fear
Joy_Bryant_0001.jpg,happiness
Joy_Lee_Sadler_0001.jpg,disgust
Juan_Antonio_Samaranch_0001.jpg,surprise
Juan_Carlos_0001.jpg,sadness
Juan_Carlos_Ferrero_0001.jpg,happiness
Juan_Carlos_Ferrero_0002.jpg,sadness
Juan_Carlos_Ferrero_0003.jpg,happiness
Juan_Carlos_Ferrero_0004.jpg,neutral
Juan_Carlos_Ferrero_0005.jpg,contempt
Juan_Carlos_Ferrero_0006.jpg,sadness
Juan_Carlos_Ferrero_0007.jpg,fear
Juan_Carlos_Ferrero_0009.jpg,fear
Juan_Carlos_Ferrero_0010.jpg,fear
Juan_Carlos_Ferrero_0011.jpg,sadness
Juan_Carlos_Ferrero_0012.jpg,fear
Juan_Carlos_Ferrero_0013.jpg,sadness
Juan_Carlos_Ferrero_0014.jpg,neutral
Juan_Carlos_Ferrero_0015.jpg,anger
Juan_Carlos_Ferrero_0016.jpg,sadness
Juan_Carlos_Ferrero_0017.jpg,fear
Juan_Carlos_Ferrero_0018.jpg,sadness
Juan_Carlos_Ferrero_0019.jpg,anger
Juan_Carlos_Ferrero_0020.jpg,sadness
Juan_Carlos_Ferrero_0021.jpg,contempt
Juan_Carlos_Ferrero_0022.jpg,neutral
Juan_Carlos_Ferrero_0023.jpg,neutral
Juan_Carlos_Ferrero_0024.jpg,sadness
Juan_Carlos_Ferrero_0025.jpg,sadness
Juan_Carlos_Ferrero_0026.jpg,surprise
Juan_Carlos_Ferrero_0027.jpg,sadness
Juan_Carlos_Ferrero_0028.jpg,disgust
Juan_Carlos_Morales_0001.jpg,neutral
Juan_Carlos_Ortega_0001.jpg,neutral
Juan_Fernandez_0001.jpg,neutral
Juan_Francisco_Palencia_0001.jpg,happiness
Juan_Ignacio_Chela_0001.jpg,contempt
Juan_Ignacio_Chela_0002.jpg,surprise
Juan_Ignacio_Chela_0003.jpg,surprise
Juan_Jose_Lucas_0001.jpg,fear
Juan_Manuel_Marquez_0001.jpg,neutral
Juan_Manuel_Marquez_0002.jpg,happiness
Juan_Manuel_Marquez_0003.jpg,sadness
Juan_Pablo_Montoya_0001.jpg,happiness
Juan_Pablo_Montoya_0002.jpg,happiness
Juan_Pablo_Montoya_0003.jpg,neutral
Juan_Pablo_Montoya_0004.jpg,disgust
Juan_Pablo_Montoya_0006.jpg,surprise
Juan_Pablo_Montoya_0007.jpg,neutral
Juan_Pablo_Montoya_0008.jpg,neutral
Juan_Roman_Carrasco_0001.jpg,sadness
Juan_Roman_Riquelme_0001.jpg,neutral
Juan_Sanchez_0001.jpg,sadness
Juan_Valencia_Osorio_0001.jpg,fear
Juan_Valencia_Osorio_0002.jpg,neutral
Juanes_0001.jpg,neutral
Juanes_0002.jpg,sadness
Juanes_0003.jpg,neutral
Judd_Davies_0001.jpg,neutral
Jude_Law_0001.jpg,fear
Jude_Law_0002.jpg,anger
Judi_Dench_0001.jpg,fear
Judi_Dench_0002.jpg,neutral
Judi_Patton_0001.jpg,sadness
Judith_Nathan_0001.jpg,happiness
Judy_Dean_0001.jpg,neutral
Judy_Genshaft_0001.jpg,disgust
Judy_Genshaft_0002.jpg,contempt
Judy_Locy_0001.jpg,happiness
Judy_Spreckels_0001.jpg,happiness
Judy_Vassar_0001.jpg,happiness
Juergen_Braehmer_0001.jpg,neutral
Juergen_Chrobog_0001.jpg,neutral
Juergen_Peters_0002.jpg,happiness
Juergen_Schrempp_0001.jpg,neutral
Juergen_Trittin_0001.jpg,fear
Jules_Asner_0001.jpg,neutral
Julia_Glass_0001.jpg,happiness
Julia_Ormond_0001.jpg,happiness
Julia_Tymoshenko_0001.jpg,surprise
Julia_Tymoshenko_0002.jpg,contempt
Julia_Tymoshenko_0003.jpg,neutral
Julian_Battle_0001.jpg,neutral
Julian_Fantino_0001.jpg,fear
Julianna_Margulies_0001.jpg,happiness
Julianna_Margulies_0002.jpg,neutral
Julianne_Moore_0001.jpg,happiness
Julianne_Moore_0002.jpg,happiness
Julianne_Moore_0003.jpg,happiness
Julianne_Moore_0004.jpg,happiness
Julianne_Moore_0005.jpg,happiness
Julianne_Moore_0006.jpg,fear
Julianne_Moore_0007.jpg,happiness
Julianne_Moore_0008.jpg,happiness
Julianne_Moore_0009.jpg,happiness
Julianne_Moore_0010.jpg,neutral
Julianne_Moore_0011.jpg,neutral
Julianne_Moore_0012.jpg,happiness
Julianne_Moore_0013.jpg,happiness
Julianne_Moore_0014.jpg,happiness
Julianne_Moore_0015.jpg,neutral
Julianne_Moore_0016.jpg,surprise
Julianne_Moore_0017.jpg,happiness
Julianne_Moore_0018.jpg,happiness
Julianne_Moore_0019.jpg,surprise
Julie_Andrews_0001.jpg,happiness
