Country	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Total	957883	1122257	1266129	1052415	1107126	1130818	1042625	1062040	1031631	990553
Afghanistan	2137	4749	3417	1753	2813	3165	2017	1648	1617	2196
Albania	3840	5947	7914	5737	5754	5137	4711	3612	3364	3186
Algeria	805	1115	1300	1036	1037	1485	1305	1364	1369	1241
AmericanSamoa	12	15	28	11	14	19	14	0	0	0
Angola	107	188	272	199	221	173	148	148	187	143
Anguilla	22	35	32	25	22	21	19	25	23	22
Antigua-Barbuda	414	440	570	415	444	437	359	368	337	344
Argentina	4805	7081	7327	5645	5353	5780	4399	4473	4359	4372
Armenia	1833	2591	6317	4351	3586	3442	2979	2983	2681	2722
Aruba	31	42	51	55	36	38	49	39	54	45
Australia	2604	3193	3249	2518	2464	2622	2512	2343	2414	2759
Austria	402	532	524	485	443	512	442	424	407	415
Azerbaijan	969	1523	2371	1166	1071	834	781	728	663	637
Bahamas	586	698	847	738	682	751	652	668	619	630
Bahrain	116	140	148	133	96	120	104	119	104	115
Bangladesh	8061	11487	14644	12074	11753	16651	14819	16707	14705	12099
Barbados	630	846	959	689	585	603	465	455	460	428
Belarus	2255	3503	3086	2328	2390	2407	2038	1964	1659	1970
Belgium	638	859	716	638	642	686	592	567	574	675
Belize	871	876	1252	1073	1077	1041	965	905	847	946
Benin	185	193	275	258	317	401	486	462	415	342
Bermuda	100	116	160	108	92	108	72	71	85	88
Bhutan	17	30	78	52	42	594	6109	10137	10198	8954
Bolivia	1768	2197	4025	2590	2436	2837	2253	2173	1948	2071
Bosnia-Herzegovina	10552	14074	3789	1569	1491	1501	946	878	815	697
Botswana	34	54	53	49	41	55	66	76	80	53
Brazil	10556	16662	17903	14295	12195	14701	12258	11763	11441	11033
BritishVirginIslands	35	41	47	40	53	46	46	37	39	45
Brunei	22	49	25	32	18	26	20	25	19	21
Bulgaria	4253	5635	4828	3981	2960	3133	2570	2661	2440	2844
BurkinaFaso	103	128	221	238	238	416	377	433	558	585
Burma	1379	2095	4562	3130	3403	13621	12925	16518	17383	12565
Burundi	100	186	320	257	255	1505	841	593	535	260
Cambodia	3553	4022	5773	4246	3713	3771	2986	2745	2473	2624
Cameroon	1309	1458	2919	3392	3771	3463	4161	4754	3815	3908
Canada	15569	21878	18207	15495	15109	16140	13328	12800	12932	13181
CapeVerde	1015	1225	1780	2048	1916	2238	1668	1808	1684	1673
CaymanIslands	38	37	65	40	37	45	52	41	44	44
CentralAfricanRepublic	17	24	51	52	88	107	101	134	116	213
Chad	23	31	73	74	96	102	120	171	155	111
Chile	1810	2404	2774	2274	2017	2250	1950	1853	1673	1736
ChinaPeoplesRepublic	55494	69933	87307	76655	80271	64238	70863	87016	81784	71798
Colombia	18846	25566	43144	33187	30213	27849	22406	22635	20931	21131
Comoros	4	6	7	7	0	0	0	8	10	3
CongoDemocraticRepublic	155	260	738	1129	1261	2122	1764	2424	3731	2792
CongoRepublic	670	1064	1600	972	950	1563	968	1371	1461	1059
CostaRica	1755	2278	3109	2540	2090	2384	2164	2135	2020	2114
Coted'Ivoire	666	930	2067	1193	1645	2159	1621	1302	1760	1486
Croatia	1511	1780	945	482	455	496	357	349	336	353
Cuba	20488	36261	45614	29104	49500	38954	33573	36452	32820	32219
Cyprus	143	196	180	137	141	142	122	101	107	126
CzechRepublic	457	476	344	287	227	146	190	303	677	676
Czechoslovakia(former)	673	784	1442	927	862	865	750	466	159	74
Denmark	566	718	699	517	498	603	518	459	459	506
Djibouti	37	50	34	23	39	54	37	56	106	90
Dominica	132	198	471	428	454	484	366	287	125	244
DominicanRepublic	30506	27503	38068	28024	31879	49414	53870	46109	41566	41311
Ecuador	8626	11608	17489	12248	11663	12128	11492	11103	9342	10591
Egypt	5522	7905	10500	9267	8712	8844	8978	7778	8988	10294
ElSalvador	29807	21359	31782	21127	19659	19909	18806	18667	16256	18260
EquatorialGuinea	13	10	13	4	16	32	12	13	20	18
Eritrea	675	796	1593	1081	1270	1928	1656	2102	2643	2138
Estonia	322	438	423	368	287	282	260	191	227	211
Ethiopia	8286	10571	16152	12786	12917	15462	14266	13793	14544	13097
Fiji	1593	1422	2115	1637	1176	1194	1201	1041	853	895
Finland	388	574	542	426	302	423	397	363	348	331
France	3688	4496	4357	3494	4935	4569	3919	3653	3862	4425
FrenchPolynesia	13	19	37	27	26	30	16	21	30	0
Gabon	50	66	85	95	82	171	138	204	197	127
Gambia	422	581	897	826	739	978	859	972	1159	1018
Georgia	964	1389	2003	1554	1620	1578	1518	1490	1341	1368
Germany	7099	9264	8436	7582	7091	7583	6888	6125	5812	6032
Ghana	5337	6491	9367	7610	8195	8401	7429	8798	10592	10265
Greece	769	1070	1124	882	769	798	745	949	1054	1361
Grenada	609	840	1068	751	784	748	664	579	671	687
Guatemala	18920	16818	24133	17908	16182	12187	10467	11092	10341	10224
Guinea	347	495	1110	1088	1735	1725	1379	1555	1656	1518
Guinea-Bissau	5	26	25	25	17	20	30	29	47	43
Guyana	6351	9317	9552	5726	6823	6670	6749	6599	5683	5897
Haiti	14191	14524	22226	30405	26007	24280	22582	22111	22818	20351
Honduras	5508	7012	8177	7646	6540	6404	6448	6133	6884	8898
HongKong	3951	3705	3256	3527	3373	2651	2432	2306	2104	2226
Hungary	1272	1567	1704	1266	1127	1314	1022	1044	1054	1052
Iceland	105	135	145	95	122	131	105	90	103	139
India	70151	84680	61369	65353	63352	57304	69162	69013	66434	68458
Indonesia	2419	3924	4868	3716	3606	3679	3032	2856	2603	2731
Iran	10434	13887	13947	10460	13852	18553	14182	14822	12916	12863
Iraq	3494	4077	4337	3765	4795	12110	19855	21133	20369	9552
Ireland	1531	2088	1906	1503	1465	1637	1507	1371	1514	1626
Israel	4160	5755	5943	4496	5851	5612	4515	3826	4153	3996
Italy	2346	3066	3215	2569	2514	2892	2579	2443	2673	2960
Jamaica	14430	18345	24976	19375	18477	21783	19825	19662	20705	19400
Japan	7697	8768	8265	6748	6821	7690	6264	6161	6061	5925
